"run_id","start_date","end_date","months","PERMNO","company"
2,1970-02-27,1980-11-28,130,12490,"INTERNATIONAL BUSINESS MACHS COR"
4,1981-01-30,1988-08-31,92,12490,"INTERNATIONAL BUSINESS MACHS COR"
35,2004-09-30,2011-09-30,85,11850,"EXXON MOBIL CORP"
40,2013-09-30,2018-11-30,63,14593,"APPLE INC"
13,1993-01-29,1996-02-29,38,11850,"EXXON CORP"
32,2001-11-30,2004-03-31,29,10107,"MICROSOFT CORP"
48,2021-12-31,2023-12-29,25,14593,"APPLE INC"
24,1998-07-31,2000-04-28,22,10107,"MICROSOFT CORP"
11,1991-04-30,1992-11-30,20,11850,"EXXON CORP"
38,2012-02-29,2013-06-28,17,14593,"APPLE INC"
46,2020-07-31,2021-10-29,16,14593,"APPLE INC"
6,1988-10-31,1989-10-31,13,12490,"INTERNATIONAL BUSINESS MACHS COR"
29,2000-10-31,2001-06-29,9,12060,"GENERAL ELECTRIC CO"
43,2019-03-29,2019-10-31,8,10107,"MICROSOFT CORP"
18,1997-01-31,1997-07-31,7,11308,"COCA COLA CO"
9,1990-08-31,1991-01-31,6,11850,"EXXON CORP"
16,1996-06-28,1996-11-29,6,11308,"COCA COLA CO"
7,1989-11-30,1990-03-30,5,11850,"EXXON CORP"
21,1997-10-31,1998-02-27,5,12060,"GENERAL ELECTRIC CO"
8,1990-04-30,1990-07-31,4,12490,"INTERNATIONAL BUSINESS MACHS COR"
34,2004-05-28,2004-08-31,4,10107,"MICROSOFT CORP"
44,2019-11-29,2020-02-28,4,14593,"APPLE INC"
45,2020-03-31,2020-06-30,4,10107,"MICROSOFT CORP"
22,1998-03-31,1998-05-29,3,10107,"MICROSOFT CORP"
37,2011-11-30,2012-01-31,3,11850,"EXXON MOBIL CORP"
10,1991-02-28,1991-03-28,2,12490,"INTERNATIONAL BUSINESS MACHS COR"
14,1996-03-29,1996-04-30,2,11308,"COCA COLA CO"
27,2000-07-31,2000-08-31,2,76076,"CISCO SYSTEMS INC"
30,2001-07-31,2001-08-31,2,10107,"MICROSOFT CORP"
31,2001-09-28,2001-10-31,2,12060,"GENERAL ELECTRIC CO"
39,2013-07-31,2013-08-30,2,11850,"EXXON MOBIL CORP"
41,2018-12-31,2019-01-31,2,10107,"MICROSOFT CORP"
1,1970-01-30,1970-01-30,1,15966,"MOBIL OIL CORP"
3,1980-12-31,1980-12-31,1,11850,"EXXON CORP"
5,1988-09-30,1988-09-30,1,11850,"EXXON CORP"
12,1992-12-31,1992-12-31,1,55976,"WAL MART STORES INC"
15,1996-05-31,1996-05-31,1,11850,"EXXON CORP"
17,1996-12-31,1996-12-31,1,12060,"GENERAL ELECTRIC CO"
19,1997-08-29,1997-08-29,1,12060,"GENERAL ELECTRIC CO"
20,1997-09-30,1997-09-30,1,10107,"MICROSOFT CORP"
23,1998-06-30,1998-06-30,1,12060,"GENERAL ELECTRIC CO"
25,2000-05-31,2000-05-31,1,76076,"CISCO SYSTEMS INC"
26,2000-06-30,2000-06-30,1,59328,"INTEL CORP"
28,2000-09-29,2000-09-29,1,59328,"INTEL CORP"
33,2004-04-30,2004-04-30,1,11850,"EXXON MOBIL CORP"
36,2011-10-31,2011-10-31,1,14593,"APPLE INC"
42,2019-02-28,2019-02-28,1,84788,"AMAZON COM INC"
47,2021-11-30,2021-11-30,1,10107,"MICROSOFT CORP"
